pd,w,pb,P.I,O,k,n,D60,Ya,Suction
1.58,16.5,27.65,24,0.313,3.410E-09,0.395,0.13,26,100
1.67,14,25.05,24,0.225,1.320E-09,0.360,0.13,27,1500
1.74,13.7,25.578,24,0.252,8.094E-10,0.333,0.13,70,500
1.84,10.9,21.896,24,0.233,1.096E-10,0.295,0.13,30,1000
1.58,17,28.44,20.5,0.329,3.570E-09,0.375,0.07,27,100
1.56,21,34.32,20.5,0.336,1.890E-10,0.383,0.07,40,500
1.65,15,26.4,20.5,0.295,3.183E-10,0.348,0.07,26,100
1.63,19,32.6,20.5,0.281,1.584E-10,0.356,0.07,30,1000
1.7,14.5,26.35,20.5,0.289,4.554E-10,0.328,0.07,70,500
1.67,18.5,32.565,20.5,0.294,7.768E-11,0.340,0.07,64,1000
1.83,11.8,23.424,20.5,0.258,2.320E+10,0.277,0.07,34,100
1.78,15.8,29.904,20.5,0.265,3.813E-11,0.296,0.07,40,500
1.56,18.2,29.952,14.3,0.343,1.770E-11,0.361,0.065,30,100
1.54,22.2,35.728,14.3,0.346,2.430E-10,0.367,0.065,70,500
1.65,16.3,28.545,14.3,0.234,4.869E-11,0.323,0.065,30,1000
1.6,20.3,34.08,14.3,0.336,1.540E-10,0.344,0.065,33,100
1.68,15.2,27.216,14.3,0.299,3.217E-10,0.311,0.065,27,100
1.65,19.2,33.33,14.3,0.345,8.012E-11,0.324,0.065,80,500
1.79,12.8,24.702,14.3,0.236,3.195E-10,0.266,0.065,40,1500
1.74,16.8,30.972,14.3,0.327,4.481E-11,0.286,0.065,30,100
1.53,18.5,29.835,9.3,0.304,1.530E-09,0.349,0.058,37,500
1.52,22.5,35.72,9.3,0.362,4.753E-10,0.353,0.058,34,1000
1.6,17.8,30.08,9.3,0.290,1.598E-10,0.319,0.058,64,500
1.57,21.8,35.796,9.3,0.334,1.973E-10,0.332,0.058,26,100
1.64,16.1,28.044,9.3,0.280,5.185E-10,0.302,0.058,30,100
1.6,20.1,33.76,9.3,0.323,1.360E-10,0.319,0.058,70,1000
1.75,13.7,25.725,9.3,0.259,1.580E-10,0.255,0.058,60,500
1.71,17.7,31.977,9.3,0.328,6.280E-11,0.272,0.058,34,100
1.6,20.5,34.4,20.5,0.296,3.880E-10,0.387,0.13,40,1500
1.66,18,31.54,9.3,0.287,1.544E-10,0.364,0.065,30,1000
1.62,18.5,31.59,24,0.292,7.410E-10,0.379,0.13,34,100
1.68,16,28.56,24,0.311,3.925E-10,0.356,0.13,30,500
1.75,15.7,29.225,24,0.315,1.920E-11,0.329,0.13,35,100
1.86,12.9,25.854,24,0.307,1.040E-10,0.287,0.13,27,30
1.61,19,32.2,20.5,0.335,3.780E-10,0.363,0.07,29,100
1.62,17,29.16,20.5,0.279,2.170E-10,0.360,0.07,57,500
1.75,16.5,30.625,20.5,0.236,6.150E-11,0.308,0.07,35,1500
1.84,13.8,27.232,20.5,0.255,4.470E-11,0.273,0.07,50,500
1.57,20.2,33.284,14.3,0.285,7.790E-10,0.356,0.065,52,1000
1.67,18.3,32.231,14.3,0.312,1.260E-10,0.316,0.065,28,100
1.71,17.2,31.122,14.3,0.267,1.173E-10,0.299,0.065,33,1500
1.8,14.8,28.44,14.3,0.277,7.300E-11,0.263,0.065,34,500
1.55,20.5,33.325,9.3,0.353,4.470E-10,0.340,0.058,32,100
1.61,19.8,33.488,9.3,0.242,1.510E-10,0.315,0.058,40,1000
1.68,18.1,32.088,9.3,0.293,1.196E-10,0.285,0.058,130,1500
1.78,15.7,29.726,9.3,0.294,5.678E-11,0.242,0.058,115,500
1.6,20.5,34.4,24,0.307,3.88E-10,0.387,0.13,40,1000
1.66,18,31.54,24,0.295,1.544E-10,0.364,0.13,30,500
1.71,17.7,31.977,24,0.241,9.152E-11,0.345,0.13,64,1500
1.85,14.9,29.415,24,0.318,3.978E-11,0.291,0.13,27,100